번호,작성자,작성일,댓글,회차,좋아요,대댓글수
4848,aaron,16.12.11,무지개 명품 빤쓰를 상상해 보았..,김 비서가 왜 그럴까(애장판) 47화,3,댓글 달기
4849,리안,16.12.11,태양이...내 예명하고 똑같네..ㅜㅜ 근데 난 재벌아닌데...,김 비서가 왜 그럴까(애장판) 70화,3,댓글 달기
4850,리안,16.12.10,와~~~~~~이번화~~~~~~ 와~~~~~,김 비서가 왜 그럴까(애장판) 62화,3,댓글 달기
4851,제이,16.12.09,네?,김 비서가 왜 그럴까(애장판) 16화,3,댓글 달기
4852,조순금(골드공주),16.12.09,오늘 자줄께요~~대박 ㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 71화,3,댓글 달기
4853,민들레,16.12.08,디게조은네요  행복만땅 ㅋㅋ,김 비서가 왜 그럴까(애장판) 71화,3,댓글 달기
4854,조순금(골드공주),16.12.08,성연이는 치료가 절실해ㅠㅠ,김 비서가 왜 그럴까(애장판) 43화,3,댓글 달기
4855,조순금(골드공주),16.12.08,"이제야 치유가 되고있나보네요~^^
마음의 병동에서 언능퇴원하세요~~",김 비서가 왜 그럴까(애장판) 41화,3,댓글 달기
4856,제이,16.12.08,후후 부부네요정말,김 비서가 왜 그럴까(애장판) 15화,3,댓글 달기
4857,나벌러브,16.12.08,신혼의 꿈은 사라졌네?,김 비서가 왜 그럴까(애장판) 68화,3,댓글 달기
4858,조순금(골드공주),16.12.06,영준부회장님넘넘귀여우시니~~♡♡,김 비서가 왜 그럴까(애장판) 21화,3,댓글 달기
4859,aaron,16.12.06,"맘아파도 자식을 위해선 ㅇ ㅏ 버님이 하는 말씀을 따르셨어야 했는데 너무 안타깝네요
어머님이 치료를 병행해서라도 바로 잡아 주셨다면.",김 비서가 왜 그럴까(애장판) 45화,3,댓글 달기
4860,라울,16.12.03,"아...그래서 그땐 않되서 지금 결혼하기수작중인거구나,영준아~~~",김 비서가 왜 그럴까(애장판) 52화,3,댓글 달기
4861,aaron,16.11.29,최여사님 그러는거 아니에요..,김 비서가 왜 그럴까(애장판) 43화,3,댓글 달기
4862,라울,16.11.27,영준~~~콩구레츄레이션 콩구레츄레이션 레이션레이션~,김 비서가 왜 그럴까(애장판) 46화,3,댓글 달기
4863,방글,16.11.26,후회할텐데...,김 비서가 왜 그럴까(애장판) 02화,3,댓글 달기
4864,나벌러브,16.11.23,둘이 이제는 마음껏 사랑하게 해주세요~~,김 비서가 왜 그럴까(애장판) 57화,3,댓글 달기
4865,바람,16.11.21,니네가 개니9년같이 일했겠냐..  그럼그렇지,김 비서가 왜 그럴까(애장판) 58화,3,댓글 달기
4866,판다는구르는후회남주가보고싶어,16.11.21,아니 이 작가님이 웬일???? 했는데 아오... 제발 제발 제발 제발,김 비서가 왜 그럴까(애장판) 32화,3,댓글 달기
4867,재현준현맘,16.11.20,결제후 정주행중 내일 출근해야하는데 다보고 잘듯...,김 비서가 왜 그럴까(애장판) 15화,3,댓글 달기
4868,나벌러브,16.11.20,영준이 정~~말 대단타!,김 비서가 왜 그럴까(애장판) 54화,3,댓글 달기
4869,혜진이,16.11.20,"아.....미친다....
드뎌....기대했는데.....
첫키스도 힘들구나 영소커플.....ㅍㅎㅎㅎ",김 비서가 왜 그럴까(애장판) 32화,3,댓글 달기
4870,혜진이,16.11.19,"영준이 월반 했으니 영준이 납치된건 맞겠죠?
아......궁금해......ㅋ",김 비서가 왜 그럴까(애장판) 25화,3,댓글 달기
4871,이주은,16.11.18,현빈. 한효주로 드라마 추천^^,김 비서가 왜 그럴까(애장판) 14화,3,댓글 달기
4872,하루건너봄,16.11.14,여주가 똑똑한 여자라 좋다 발암도 금방금방 처리되고 혹시 재발하는건 아니겠...지?,김 비서가 왜 그럴까(애장판) 46화,3,댓글 달기
4873,리안,16.11.12,저게 바로 기억반동작용이겠죠. 영준이 너무 안됐네요 자기에게 일어나지 않을일로 기억에 각인시켜 자기스스로의 행동에 핑게를 만들고 있죠. 저렇게해서 관심을 갈고하고 싶을까?,김 비서가 왜 그럴까(애장판) 26화,3,댓글 달기
4874,🍀🐰🍀,16.11.10,궁금갱장한궁금,김 비서가 왜 그럴까(애장판) 07화,3,댓글 달기
4875,나벌러브,16.11.06,"오~~드디어 미소가 반응을 하는 군요
영준아~조금만 더 힘을 내",김 비서가 왜 그럴까(애장판) 43화,3,댓글 달기
4876,나그네...,16.11.04,"마음이 애틋하면서도.. 짠하기도 했던 영준과 미소를 이렇게 보내네요...
잘 읽었습니다~",김 비서가 왜 그럴까(애장판) 78화,3,댓글 달기
4877,로아로,16.11.03,"성현오빠 - 왜
이 부분에서 소름이 쫙 돋았어요 와...",김 비서가 왜 그럴까(애장판) 44화,3,댓글 달기
4878,♥BEY,16.11.01,"아....한명이였구나...그 어마어마한 스케일들의 주인공이...ㅂㄷㅂㄷ
결국 영준까지 무한동공비우기를 시전하네요ㅋㅋㅋㅋ
우와 정말 우주도 정복해버릴법한 이름에, 외모나 성격은 또 얼마나 굉장할지 기대됩니다! 마치 다른 소설의 주인공으로 등장해줘야할것같네요ㅋㅋ
아이고 왜 태어나지도 않았는데 벌써부터 이 부부가 며느라기 잡을 시어머니 시아버지가 될거같죠ㅋㅋ",김 비서가 왜 그럴까(애장판) 69화,3,댓글 달기
4879,촛농,16.10.30,"내가 미소라면, 이젠 이 남자 못믿겠다.ㅠㅠ
그건 미소를 지키는 게 아니야! 이 바보야~!!",김 비서가 왜 그럴까(애장판) 48화,3,댓글 달기
4880,라울,16.10.29,아...영준이 매력덩어리^^,김 비서가 왜 그럴까(애장판) 18화,3,댓글 달기
4881,민이,16.10.29,혹시 형이 애정결핍 이있어서 별다른말 안하고 부모님 생각해서  걱정할까봐 그냥 형이 얘기하는데로 들어준건가..?,김 비서가 왜 그럴까(애장판) 26화,3,댓글 달기
4882,알베~☆,16.10.28,거의 만담수준이라능~ㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 21화,3,댓글 달기
4883,나그네...,16.10.26,"그 오빠는 영준이고..
여튼 뒷내용이 궁금하네요.",김 비서가 왜 그럴까(애장판) 07화,3,댓글 달기
4884,촛농,16.10.26,"너무 힘들면 외면하고 싶어지긴한데...
부모는 그러면 안되는 것 같다.
아버지 말씀처럼 성연이 그때 치료받았으면 다들 지금은 좀 편안했을텐데...
영준이는 무슨 죄야ㅠㅠ 
성연이는 미소로 인해서 모든 게 가짜라는 걸 언젠간 알게 될텐데...이게 뭐야ㅠㅠ",김 비서가 왜 그럴까(애장판) 45화,3,댓글 달기
4885,에스프레소향기,16.10.25,결재 할까말까할까말까..,김 비서가 왜 그럴까(애장판) 32화,3,댓글 달기
4886,Skye,16.10.24,"뭐죠, 이 옥희 관점은? 옛날에 배운 사랑방손님과 어머니 생각이 나요. ^^",김 비서가 왜 그럴까(애장판) 72화,3,댓글 달기
4887,나벌러브,16.10.24,미소라는 걸 알았으니까,김 비서가 왜 그럴까(애장판) 38화,3,댓글 달기
4888,게으름뱅이,16.10.22,쿠폰 없는게 한이로다 ~~~,김 비서가 왜 그럴까(애장판) 08화,3,댓글 달기
4889,🐾다원:(*￣∇￣)ノ,16.10.19,".....지난번에도 나르'시시'스트 라고 나오는데 농담인가 했습니다만 계속 그러네요?
나르시시즘(ism생각. 사상./자기애주의)
나르시스트(사람./자기애주의자)
일텐데요.",김 비서가 왜 그럴까(애장판) 15화,3,4
4890,키큰라이츄,16.10.18,뭐지...? 갑자기 소설 내내 쌓아놓은 감정들이 저렇게 한 번에 끝??? 납득은 안가지만 소설은 작가님 마음이니까...ㅎ혹시 답답함을 주시려고 한 번에 해결하신건가...성연이가 저렇게 영준이를 마주할 수 있다는게 신기하네ㅋㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 57화,3,댓글 달기
4891,키큰라이츄,16.10.18,제발 정신과 치료를 받든 입원하든 해라. 눈 앞에서 사라져.,김 비서가 왜 그럴까(애장판) 46화,3,댓글 달기
4892,L제이,16.10.15,귀여워라ㅋ,김 비서가 왜 그럴까(애장판) 52화,3,댓글 달기
4893,촛농,16.10.15,"ㅋㅋ 역시 밀었었네ㅋㅋ
회전의자가 문제야 문제~! 왜 그때 끼익소리를 내는 거야ㅠ",김 비서가 왜 그럴까(애장판) 33화,3,댓글 달기
4894,황후화,16.10.14,ㅋㅋㅋㅋ 태양아 음 8살 아니7살 너도 범상치 않아보이는데????,김 비서가 왜 그럴까(애장판) 72화,3,댓글 달기
4895,토실토실,16.10.14,ㅋㅋㅋ미소는 선택권이 없나요 ~연애까지라니 ㅋㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 08화,3,댓글 달기
4896,황후화,16.10.13,흐흠 역시 사람이 잴로 무서버 ㅠㅠ,김 비서가 왜 그럴까(애장판) 51화,3,댓글 달기
4897,황후화,16.10.13,코난이다~~~~~^^,김 비서가 왜 그럴까(애장판) 49화,3,댓글 달기
4898,황후화,16.10.13,"아우 뻔뻔한 영준이 자식 ㅋㅋㅋㅋㅋ
글치 영준이는 뭐든 하나는 남길거 같네~~
박박사 그치~~~",김 비서가 왜 그럴까(애장판) 47화,3,댓글 달기
4899,♥BEY,16.10.13,이때까지 중에 제일 안타까우면서도 멋져보이는ㅜ,김 비서가 왜 그럴까(애장판) 55화,3,댓글 달기
4900,냔♡,16.10.13,"타이밍이 안 좋은 것 같지만...
고급 시계란 말에 오버워치가 먼저 생각나버렸다..ㄷㄷ",김 비서가 왜 그럴까(애장판) 51화,3,댓글 달기
4901,황후화,16.10.13,쯧쯧쯧 ~~~고백을하라고 영준아~~~,김 비서가 왜 그럴까(애장판) 40화,3,댓글 달기
4902,황후화,16.10.13,김비서 삽질 어디까지 가나볼까요????,김 비서가 왜 그럴까(애장판) 34화,3,댓글 달기
4903,몽이,16.10.13,저도 승천하는 황금용 두마리에 소나무 위에 이무기가 있었는데 걔가 날아와서 제 어깨를 깨물어서 놀래서 깼는데요 결론은 아들 하나 나았답니다 ㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 67화,3,1
4904,황후화,16.10.13,여기 글벗님은 다들 홈즈인가~~~~~~~,김 비서가 왜 그럴까(애장판) 26화,3,1
4905,황후화,16.10.13,영준이 개명한건 확실하네 ㅡㅡ;;,김 비서가 왜 그럴까(애장판) 25화,3,댓글 달기
4906,황후화,16.10.12,웃프네요~~~~,김 비서가 왜 그럴까(애장판) 03화,3,댓글 달기
4907,남주은스키다요~♥,16.10.12,그럼 그러든지가 머야!!!!,김 비서가 왜 그럴까(애장판) 02화,3,댓글 달기
4908,시간,16.10.11,ㅋㅋ~ 만화로 이부분 꼭 봐야지,김 비서가 왜 그럴까(애장판) 65화,3,댓글 달기
4909,♥BEY,16.10.10,애앞에서 못하는짓이 없어ㅜ엉엉,김 비서가 왜 그럴까(애장판) 53화,3,댓글 달기
4910,문아름,16.10.09,빅뱅 ㅎㅎ 으힣 왤케웃음이나오지..,김 비서가 왜 그럴까(애장판) 16화,3,댓글 달기
4911,gksrud6253,16.10.08,"아무래도 거미의 정체는 시체 같네요
끼익,끼익 목 메달려서 움직일 때 나는 소리고,
남자얘가 ""저쪽은 보지 마""한것도 그렇고...
얼마나 무서웠을까...ㅠㅠ",김 비서가 왜 그럴까(애장판) 08화,3,댓글 달기
4912,우주센터111,16.10.08,부부라구요....이거...,김 비서가 왜 그럴까(애장판) 37화,3,댓글 달기
4913,아무도막을수없다,16.10.07,다른 김비서보다가 이 김비서가 자꾸 머리속에서 떠나지 않길래 왔는데! 역시 ㅋㅋㅋㅋ김비서 사랑합니다♡ 시원시원 짱좋♡♡,김 비서가 왜 그럴까(애장판) 03화,3,댓글 달기
4914,공공공,16.10.07,어째점점현실성   떨어짐ㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 72화,3,댓글 달기
4915,다음편다음편다음편,16.10.07,가족들 생각하니 답답하다. 이것 또한 덮는거랑 뭐가 다른지...부모님은 해피엔딩이 됐다고 좋아하겠네. 참...어휴,김 비서가 왜 그럴까(애장판) 57화,3,댓글 달기
4916,다음편다음편다음편,16.10.06,저 미친x.,김 비서가 왜 그럴까(애장판) 53화,3,댓글 달기
4917,여우방망이,16.10.06,"요런 철없는 귀요미.. 
이리.
줌마가 궁디 팡 해주마.ㅋ",김 비서가 왜 그럴까(애장판) 08화,3,댓글 달기
4918,백여시,16.10.05,"컥!! 미친!!!!
있는데루 부려먹으며 몸두 달라구?
기약없이?? 헐~",김 비서가 왜 그럴까(애장판) 08화,3,댓글 달기
4919,민트박하,16.10.05,정말재밌게연애하는두사람,김 비서가 왜 그럴까(애장판) 36화,3,댓글 달기
4920,숲숲,16.10.02,이거 15세 이상 맞나요? ㅋㅋ 설마 전체 관람가 아니겠죠?,김 비서가 왜 그럴까(애장판) 64화,3,댓글 달기
4921,촛농,16.10.02,"확실히 만화보단 소설이 재밌네.
흐름이 훨씬 부드럽고 좋네^^",김 비서가 왜 그럴까(애장판) 22화,3,댓글 달기
4922,아드마리♥,16.10.02,예상대로 나나의 스위트홈 세트가 등장했군,김 비서가 왜 그럴까(애장판) 57화,3,댓글 달기
4923,♥BEY,16.10.02,"혹시 영준이 받고있는 관심들을 저한테 투영하고싶어서 밖에서 물어보는 이들에게 그 피해자가 자신인것처럼 하면서 동정어린관심을 받은걸까요?
그걸 영준에게 신경쓰고있던 가족들은 이미 악화될때까지 몰랐다거나..",김 비서가 왜 그럴까(애장판) 44화,3,댓글 달기
4924,캔디,16.10.02,험난한 여정이군..ㅋ,김 비서가 왜 그럴까(애장판) 21화,3,댓글 달기
4925,영~,16.10.02,"또 마지막이 다가오네ㅎㅎㅎ
행복에서 시작되 행복으로 끝나네
에고 부럽다",김 비서가 왜 그럴까(애장판) 72화,3,댓글 달기
4926,물음표,16.10.01,영준이 이야기가 나오는건가요??  궁금했는데ㅎ 그전에 소장권부터 구매해야겠지만.... 저 돈없어요.... 끝까지 못볼지도모른다는게 슬퍼요ㅠㅠ,김 비서가 왜 그럴까(애장판) 74화,3,1
4927,ㅌㅇ,16.09.29,젠장할....또 빤스한장밖에 기억이 남질않아.....,김 비서가 왜 그럴까(애장판) 48화,3,댓글 달기
4928,아드마리♥,16.09.29,슬프다......으아아ㅏ아아ㅇㅏ앙ㅜㅜ,김 비서가 왜 그럴까(애장판) 54화,3,댓글 달기
4929,나벌러브,16.09.28,"뭔가 일이 터질 거 같애..
그래 함 터져야지 넘 조용했어",김 비서가 왜 그럴까(애장판) 29화,3,댓글 달기
4930,냔♡,16.09.26,뭐지ㅡ 영준이가 말만 잘 하면 다 해결될 것 같은데 말 한 마디 못해서 산 넘고 강 건너 겨우겨우 다다를 것 같은 이 불길한 예감은?,김 비서가 왜 그럴까(애장판) 33화,3,댓글 달기
4931,aaron,16.09.26,"뒤는 늘 코미디 풉..
그래 이런 담백함도 이커플의 매력이라면 매력이겠지",김 비서가 왜 그럴까(애장판) 37화,3,댓글 달기
4932,♥BEY,16.09.26,"그래 그리고 박박사,당신은 그 뭔일을 방해했지ㅇㅅㅇ 이제 게임을 시작해볼까? 애니팡! (응?",김 비서가 왜 그럴까(애장판) 39화,3,댓글 달기
4933,진아쌤,16.09.26,미소의 몸매가 좋은 이유가 저 피티 선생님 때문??,김 비서가 왜 그럴까(애장판) 77화,3,댓글 달기
4934,유니타기맘,16.09.24,"붉달의 황제와 태자가 오히려 작명실력이 나은듯......
간단명료하게😆
너무 어마무시한것만 붙이는 것도....ㄷㄷ
여기도 저기도 작명이 문제",김 비서가 왜 그럴까(애장판) 69화,3,댓글 달기
4935,♥BEY,16.09.24,"서로에게 조금씩 녹아든 탓에 너무 가까워져서 문뜩 돌이켜보고서야 그랬구나하고 깨닫는 사이가 요깃네
뭔가 잔잔하게 로맨틱하네요",김 비서가 왜 그럴까(애장판) 37화,3,댓글 달기
4936,청안,16.09.23,"참어린이때나어른일때나변함이없이옆에사람부터챙기는것 미소때문인가
속은따뜻하네~^^",김 비서가 왜 그럴까(애장판) 74화,3,댓글 달기
4937,사랑은속삭임이다,16.09.22,"너무합니다.
몇편 안남았는데 무료가 아니네요ㅠㅠ
끝까지 다보고 싶은데",김 비서가 왜 그럴까(애장판) 74화,3,댓글 달기
4938,영~,16.09.22,오~~야하다ㅋ,김 비서가 왜 그럴까(애장판) 62화,3,댓글 달기
4939,촛농,16.09.21,만화에서 이해 안되던 부분이 이걸 읽으니 이해가 되네요~^^,김 비서가 왜 그럴까(애장판) 13화,3,댓글 달기
4940,냔♡,16.09.21,책을 보고 놀란 것은 아마 저자가 이성현이라서가 아닐까요. 앞에 성현이가 작가라는 언급도 있었으니까요.,김 비서가 왜 그럴까(애장판) 28화,3,2
4941,나무늘보,16.09.19,불량 라텍스인줄 알았더니 안하셨던거구만!,김 비서가 왜 그럴까(애장판) 67화,3,댓글 달기
4942,나벌러브,16.09.19,"영준이가 납치된 아이 맞는 것 같다요
미소야 좀 더 적극적으로 알아 봐",김 비서가 왜 그럴까(애장판) 25화,3,댓글 달기
4943,으앗,16.09.18,영준이도 설마하는 맘은있지않아요? 요상한꿈도꿨고..ㅋㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 68화,3,댓글 달기
4944,새로운희망,16.09.18,"피이쓰 빵터짐~~  ㅋ  헌데  책이라도
도시락  푸아그라는  생산자체가 혐오식품이라...  태양이가  먹지 않았음 좋겠네요.",김 비서가 왜 그럴까(애장판) 72화,3,댓글 달기
