번호,작성자,작성일,댓글,회차,좋아요,대댓글수
58,키키카카,15.12.07,김비서까지 기무라니!!!그것도 특별외전까지!!! 내가 이래서 카카오페이지가 좋아라한데니깐ㅋ,김 비서가 왜 그럴까(애장판) 01화,470,13
59,빨강머리앤,15.12.09,미소는 그냥 책만 좋아하는거죠,김 비서가 왜 그럴까(애장판) 31화,469,3
60,달의정원,15.12.08,"오래전 ᆢ그때ᆢ
4학년때를 말하는 걸까나 앞화에서 말하던ᆢ
설마  그때 ᆢ 형이 친구들과 뭔가 장난으로 혹은 시기로 재개발지역인 미소네 동네에서 영준이에게 못된짓을 했는데 미소가 말려들었던건가ᆢ
분명 배려에 대해서 형과 미소는 할말없다는 식으로 영준이가 말했었는데ᆢ",김 비서가 왜 그럴까(애장판) 17화,461,12
61,별리와소리☆★,15.12.13,"이런 ᆢ 태양아 여동생이 생기면 안패고도 진성이에게 이기는건데ᆢㅋㅋ
너네 엄마 아빠 유전자라면 ᆢ
진성이 그냥 뻑~!! 갈게 자명한데ᆢ",김 비서가 왜 그럴까(애장판) 71화,457,2
62,바람속을걷다,15.12.13,"영준아ᆢ 니가 이제서야 니 주변 사람들의 마음을 헤아릴 수 있으려나ᆢ
???",김 비서가 왜 그럴까(애장판) 70화,443,5
63,니냐니뇨,15.12.07,"ㅋㅋㅋㅋ쿨하게 그만두라고
해놓고 김비서의 빈자리를 느끼는
남주??뭐  이런 내용이겠죠~~
김비서는 오랫동안 짝사랑해온
보스곁에 더이상머물수없는 뭐 이런....
아님 말고ㅎㅎㅎ
암튼 기무된거 감사하며 즐독하겠습니다~~!!",김 비서가 왜 그럴까(애장판) 02화,439,6
64,레니,15.12.07,어릴 때 그 오빠가 설마?,김 비서가 왜 그럴까(애장판) 05화,437,18
65,니냐니뇨,15.12.07,"9년동안 잠만 같이 안잤지 모든 생활을
같이 했더니 부부 아닌 부부같은 사이가 됬네요 이 둘......",김 비서가 왜 그럴까(애장판) 15화,436,9
66,륜.,15.12.30,설마 미소나갔더니 영준은 이미자고있다?ㅋㅋ,김 비서가 왜 그럴까(애장판) 45화,430,16
67,쟈스민,15.12.13,"미소와 영준이가 같이 납치를 당했군요. 아마 극도의 공포를 경험한 후 무서워서 일부 기억을 잃어버렸나봐요.
영준이는 기억하고 있을 것 같은데요.....회식 때 다가와서 이름 물어 보고 갔잖아요. 할 일 없이 신입 사원 이름 물어 보지는 않았을 것 같은데요~~!!
영준이 자뻑 너무 심해서......오글 오글 거려요~~!!???",김 비서가 왜 그럴까(애장판) 07화,426,7
68,바람불다♡♡,15.12.13,"지구만ᆢ??
우주를 정복하고도 남을 듯ᆢ
욕심 많은 용과 봉황을 거느린 태양이니ᆢ
미소는 호랑이였지ᆢ
그래도 아빠 ᆢ 사람이니 아들 이름은 제발  평범하게 지어줘 ᆢㅋㅋ
아이야 그래도 미소같은 엄마가 있어 니가 
사람의 이름은 가질 듯 하니 감사하도록ᆢㅋㅋ",김 비서가 왜 그럴까(애장판) 69화,417,4
69,얼음꽃마녀,16.01.30,ㅎㅎ 스커트인지 바지인지가 문제가 아니라 결국은 급한맘에 초첬다는얘기네요 찬찬히 스키니진도 벗길수있길....,김 비서가 왜 그럴까(애장판) 59화,415,10
70,별리와소리☆★,15.12.13,"이때 영준은 미소를 이미 알아봤었구나ᆢ
미소뿐만 아니라 영준도 거미에서 연상작용  되는 이미지로 공포를 느끼나 보군ᆢ
어휴ᆢ 고생 많았어 영준아 ^^♥",김 비서가 왜 그럴까(애장판) 74화,412,6
71,마니마니,16.02.05,"잘생겨
돈많아
시부모님은조건안따지고잘해주셔
이런집안현실엔없다",김 비서가 왜 그럴까(애장판) 66화,409,11
72,엄지엄지,15.12.28,최후의 칼자루 쥔 자 인생甲!!!! 꺄악 넘 멋져요,김 비서가 왜 그럴까(애장판) 62화,405,3
73,가을비,15.12.23,어머니 진짜 좋은 분이다 알아서 딱딱 끊어주시고,김 비서가 왜 그럴까(애장판) 46화,403,5
74,난반댈세!!,16.01.02,성연이 저 시키 ...  동생이 뭐든 잘하고 잘난게 배아프고 시기하다 납치 당한거 알고도 거짓말해서 동생 진짜 죽을 뻔했는데 그것 조차도 자신이 한 행동으로 비난 받기 싫어서 자기기억을 위조한건가? 난 동생죽일나쁜짓  했지만 펑소에 잘난 동생놈 잘못이니 비난받기 싫어. 다 동생놈 때문이야 그러니까 나쁜짓도 다 니가한거야라는 성연인가?,김 비서가 왜 그럴까(애장판) 34화,400,5
75,아기멍멍,15.12.11,아 예 회전의자에 앉으셨죠ㅋㅋ,김 비서가 왜 그럴까(애장판) 32화,398,4
76,블루노바,15.12.31,"왠지 용과 봉황에서 아들, 딸 쌍둥이를 낳을꺼같네요(시어머니가 주신 쌍둥이를 낳게 한다는 들깨가루부터 작가님의 약간의 스포인듯)
소나무와 해를 안는건 임신을 뜻하는거 같구요
여의주를 왕창 문 욕심꾸러기 아들과 봉황처럼 기품있고 얌전한 딸 쌍둥이 예상해봅니다ㅎㅎ",김 비서가 왜 그럴까(애장판) 67화,395,8
77,바람불다♡♡,15.12.07,"아ᆢ 하트 ᆢ
저도 많이 시달렸죠 ㅋㅋ
저는 새벽 출근이라 아홉시엔 자는데 ᆢ
새벽 한시까지 카톡이 울어대던 어느날 ᆢ
어떻게 된건지 기억은 안나지만ᆢ
폰이 축 사망 ᆢ한 사건도 있었는데ᆢ???",김 비서가 왜 그럴까(애장판) 12화,395,15
78,수수꽃다리,16.02.05,아빠는 일에 뺏기고 엄마는 아빠에게 뺏기고...태양아!! 후딱커서 너도 비서 만들어라....^^:;,김 비서가 왜 그럴까(애장판) 70화,394,4
